real,imag
-395.9,-74.6516
299.665,224.896
-271.499,-244.512
107.083,344.067
-36.6439,-307.886
-136.449,352.34
180.246,-266.602
-295.938,270.62
261.578,-155.813
-291.944,143.178
179.728,-24.2215
-152.678,19.2847
12.3846,81.3734
10.2045,-59.1975
-116.524,126.282
84.2083,-67.0295
-127.094,97.0756
36.5565,-4.77905
-38.7747,9.80422
-66.4032,95.8873
49.9071,-90.053
-115.195,179.751
42.0852,-143.777
-46.7758,192.381
-76.8555,-109.482
100.074,111.789
-220.581,9.89677
207.177,-32.6357
-261.763,161.111
163.42,-170.426
-128.618,266.309
-47.3836,-227.865
133.385,267.208
-323.726,-171.212
383.267,159.886
-509.823,-26.8328
478.743,-3.45485
-503.599,135.815
377.994,-147.258
-332.96,246.77
175.531,-217.278
-143.578,274.293
42.9693,-206.66
-102.418,234.181
112.099,-147.733
-281.144,166.757
379.637,-79.7426
-599.627,102.486
700.134,-19.5604
-870.145,43.546
874.226,42.7485
-914.63,-26.6982
774.697,123.74
-677.831,-118.308
427.39,222.516
-262.399,-217.993
-5.01081,315.335
135.139,-296.381
-323.115,373.689
342.945,-332.387
-407.388,388.875
308.926,-331.736
-276.57,379.558
114.294,-321.244
-56.2777,373.659
-95.0209,-322.261
112.783,379.521
-205.927,-326.597
160.586,372.842
-197.655,-298.369
112.081,314.011
-128.978,-203.79
42.5022,184.209
-72.5761,-45.6033
5.25238,10.1108
-51.4773,128.239
-10.3932,-146.46
-26.0077,252.843
-61.2758,-229.543
61.685,291.828
-189.204,-229.24
223.064,263.268
-366.862,-187.118
391.439,222.503
-495.868,-159.259
451.533,212.763
-463.4,-164.869
313.401,223.092
-220.138,-163.382
-19.8959,190.825
174.989,-83.2755
-439.17,52.046
576.464,115.4
-782.571,-196.465
828.859,392.873
-922.843,-473.874
850.264,637.472
-833.281,-654.604
670.279,730.345
-592.202,-647.027
401.217,623.52
-326.795,-455.948
165.016,374.533
-136.046,-182.31
25.327,110.806
-43.0403,41.3573
-32.9448,-51.8254
-3.59892,134.083
-69.3507,-78.4919
41.7541,109.503
-129.193,-24.7722
114.124,51.2524
-205.301,15.8172
180.598,44.041
-247.521,-17.159
186.434,114.694
-210.689,-115.214
108.76,225.169
-102.77,-222.203
-11.1915,315.453
6.21984,-287.864
-85.4931,354.943
25.9164,-305.348
-38.6763,358.167
-88.2759,-302.632
131.467,355.337
-291.555,-300.733
336.67,349.758
-463.756,-282.062
442.871,306.245
-478.547,-203.141
353.14,186.295
-286.387,-44.5213
76.3769,0.812376
43.4604,147.199
-265.713,-170.521
353.68,270.099
-503.477,-221.002
488.367,233.503
-519.444,-95.8798
387.687,33.1687
-321.855,152.867
127.716,-227.754
-43.5253,386.448
-122.343,-398.333
136.416,468.943
-201.8,-383.154
101.424,364.035
-57.1297,-212.638
-130.062,163.594
223.746,-22.4629
-414.189,20.2438
463.507,48.7448
-567.944,29.7318
502.084,-30.993
-479.138,151.881
292.477,-155.572
-172.997,234.719
-72.0459,-157.45
203.708,129.904
-413.589,60.0999
468.453,-184.155
-571.347,433.847
504.262,-565.884
-486.789,765.71
316.243,-794.062
-224.13,850.095
14.7526,-715.621
78.9598,614.517
-256.55,-352.545
293.105,172.508
-398.688,109.217
359.517,-249.233
-395.619,440.401
300.624,-456.386
-298.653,511.536
184.022,-401.331
-178.649,358.278
72.7165,-189.28
-83.2339,129.914
-4.19618,18.0682
-24.0036,-30.6838
-48.4429,121.228
8.32348,-80.6731
-71.1881,133.864
22.6545,-77.5203
-77.3374,135.459
20.6767,-97.2178
-68.0873,175.328
6.64793,-146.949
-53.7871,214.42
-1.6978,-149.71
-58.35,156.676
21.938,-15.7164
-104.717,-55.3695
90.6952,259.449
-190.671,-362.692
183.894,556.188
-277.562,-601.424
249.443,693.429
-307.987,-606.088
235.054,553.43
-245.562,-331.717
129.208,176.743
-108.744,98.0645
-19.7848,-247.549
30.0855,458.522
-126.239,-495.714
85.955,563.751
-120.686,-449.961
17.7018,382.367
1.44484,-168.448
-140.657,49.7702
172.467,161.337
-298.92,-227.582
295.161,348.827
-369.898,-305.311
307.8,316.378
-328.21,-180.172
225.561,129.358
-226.25,31.1157
127.713,-68.8897
-154.723,185.644
98.7771,-160.081
-175.54,206.844
165.989,-116.871
-275.912,114.136
278.982,5.33465
-377.694,-17.031
347.114,128.259
-395.569,-120.296
307.283,206.944
-301.308,-175.036
172.089,241.818
-146.403,-195.002
22.432,250.451
-25.9721,-193.152
-50.3105,236.14
-10.4041,-162.681
-9.92688,186.016
-95.1369,-91.7562
99.4861,97.1648
-205.327,7.49778
186.909,-1.03537
-251.26,91.2658
180.907,-57.9685
-192.962,113.036
79.8642,-42.8292
-66.5574,67.0129
-50.2242,20.8524
45.5226,3.70003
-126.745,64.8199
76.3001,-5.54073
-110.639,31.7984
21.0604,66.4875
-31.0097,-64.3539
-64.4342,161.933
41.8858,-128.391
-109.999,163.825
51.9004,-43.8944
-84.1075,-18.8876
-2.67236,232.381
-13.8744,-366.352
-72.6011,612.981
40.1076,-731.509
-98.2897,911.065
30.5165,-916.352
-52.558,949.99
-46.7104,-796.216
47.7839,680.072
-160.486,-407.343
166.474,220.069
-278.6,66.4387
282.35,-209.703
-393.933,403.068
400.566,-420.209
-517.821,475.218
529.798,-363.454
-647.049,317.896
647.917,-146.854
-737.994,88.3573
692.99,52.6123
-719.363,-48.6833
597.692,110.525
-542.952,-28.2778
346.679,28.6644
-235.355,86.4651
10.3581,-84.9524
95.7472,166.447
-280.788,-106.564
317.296,117.211
-413.56,11.771
356.322,-55.0187
-369.372,212.427
253.375,-253.24
-241.752,377.515
138.474,-359.833
-173.041,409.493
138.748,-312.368
-249.465,289.052
280.75,-134.885
-430.027,76.7983
460.997,87.26
-566.365,-131.357
513.548,261.424
-507.127,-257.214
332.703,330.977
-216.234,-268.416
-35.9662,286.696
181.762,-175.131
-406.359,153.293
468.69,-12.0175
-564.714,-28.1193
472.183,175.525
-410.811,-209.062
182.963,336.958
-29.5362,-338.635
-233.075,424.012
359.557,-375.598
-539.451,407.789
542.612,-308.605
-580.221,298.281
446.334,-170.067
-374.575,147.836
175.761,-26.0631
-91.7648,27.0087
-68.0604,59.2152
72.4074,-16.8222
-129.315,63.1809
28.2025,10.3739
2.8471,18.9314
-158.82,54.9423
203.292,-9.90956
-331.497,55.8894
315.467,22.9054
-365.133,-9.11633
270.317,111.467
-258.147,-107.349
131.564,203.107
-124.132,-177.058
37.3178,239.498
-95.692,-174.793
86.1064,200.002
-215.899,-105.443
255.592,112
-400.417,-10.8788
415.476,20.8037
-498.399,71.5932
424.09,-53.3389
-405.512,143.165
235.493,-131.546
-144.083,237.622
-62.8852,-248.803
148.858,378.104
-309.144,-404.955
315.642,534.302
-377.688,-539.391
284.022,622.604
-260.397,-559.329
108.48,558.951
-61.153,-407.845
-79.6944,328.567
87.5877,-120.449
-172.106,16.2594
120.781,179.348
-156.785,-234.482
78.0601,351.724
-112.956,-311.696
58.4297,332.625
-136.041,-211.085
131.687,178.589
-253.992,-39.7971
276.778,27.5281
-399.98,59.3399
393.937,0.198737
-461.051,10.5845
379.621,112.904
-363.959,-139.888
205.926,266.003
-132.456,-258.356
-55.2617,317.737
125.911,-222.707
-279.532,189.615
291.198,-13.7135
-371.077,-73.9964
306.04,268.404
-317.43,-335.238
200.651,473.22
-181.571,-458.145
55.6639,503
-44.929,-399.256
-61.652,373.999
49.3869,-228.649
-135.552,194.411
109.16,-70.524
-187.83,80.4984
157.621,-12.2098
-230.826,76.6365
187.369,-50.5648
-234.431,137.521
149.548,-111.808
-141.376,179.669
-6.91978,-122.432
77.5625,155.894
-276.317,-71.2007
374.512,91.9721
-569.489,-13.4226
628.612,58.5878
-750.976,-17.5899
711.642,105.001
-722.437,-100.985
574.269,210.859
-495.331,-208.292
290.587,296.339
-197.452,-251.212
23.5384,282.888
-1.69727,-177.543
-71.6203,156.184
-20.4455,-14.9005
56.1357,-18.4569
-234.873,145.352
321.079,-140.324
-506.177,211.55
553.598,-143.256
-660.765,154.396
602.918,-39.0185
-593.009,23.1685
422.905,95.9267
-320.615,-93.3337
89.2576,176.754
37.1829,-128.831
-255.371,165.884
336.349,-78.5293
-485.715,88.9816
485.505,9.23174
-552.386,5.79855
477.787,75.4988
-484.877,-36.1644
368.175,91.3588
-350.723,-29.1516
224.454,68.2433
